keyword,sdg,type
SDG 1,1,
SDG1,1,
low-income,1,GENERIC
living standard,1,
impoverished,1,
vulnerable community,1,
financial security,1,
living condition,1,
poor people,1,
poor populations,1,
poverty,1,
absolute poverty,1,
economic marginalisation,1,
end poverty,1,
eradicate poverty,1,
reduce poverty,1,
eradicate poverty,1,
extreme poverty,1,
global poverty,1,
living in poverty,1,
life in poverty,1,
poor and vulnerable,1,
poverty alleviation,1,
poverty eradication,1,
poverty line,1,
poverty reduction,1,
poor resilience,1,
social protection,1,
child support grant,1,
child welfare,1,
microfinance,1,GENERIC
poverty levels,1,
social assistance,1,
social protection,1,
social safety net,1,
social security,1,
social support,1,
social welfare,1,
welfare,1,
safety net,1,
livelihood,1,GENERIC
basic need,1,
financial empowerment,1,
global poverty,1,
income poverty,1,
poverty reduction,1,
resilience of the poor,1,
SDG 2,2,
SDG2,2,
famine,2,
drought,2,
food,2,GENERIC
agriculture,2,
agricultural,2,
starvation,2,
nutrition,2,
nutritious,2,
stunting,2,
crop,2,GENERIC
soil,2,GENERIC
acute severe maternal undernutrition,2,
agri-food supply chain,2,
Agriculture Research,2,
crop switching,2,
agricultural losses,2,
agricultural technologies,2,
agricultural community,2,
agricultural development,2,
agricultural export subsidies,2,
agricultural innovation,2,
agricultural land,2,
agricultural management,2,
agricultural markets,2,
agricultural policy,2,
agricultural practices,2,
agricultural production,2,
agricultural productivity,2,
agricultural soils,2,
agricultural systems,2,
agricultural sector,2,
agricultural operations,2,
agriculture and potassium,2,
agriculture producer,2,
agroforestry management,2,
agroforestry practices,2,
arable land,2,
conservation agriculture,2,
crop growth,2,
crop management,2,
crop productivity,2,
crop yield,2,
cropping systems,2,
aquaculture,2,
farmed fish,2,
dietary diversity,2,
doha development round,2,
early life nutrition,2,
end hunger,2,
european food safety authority,2,
farmyard manure,2,
fertilizer,2,
food quality,2,
food availability,2,
food commodity market,2,
food gap,2,
food governance,2,
food insecurity,2,
food market access,2,
food nutrition,2,
food price,2,
food provision,2,
food production,2,
food productivity,2,
food reserves,2,
food insecurity,2,
food security,2,
food supply,2,
food system,2,
agro-food,2,
food crisis,2,
food consumption,2,
healthy food,2,
