domain,name
aiderly.de,aiderly.de
enway.ai,Enway
fixmyberlin.de,FixMyBerlin
heartbeatinvestments.com,Heart Beat Investments
live-eo.com,LiveEO
loadster.org,citkar
new.siemens.com,Siemens
www.civocracy.org,Civocracy
www.dkn-future-earth.org,Deutsches Komitee für Nachhaltigkeitsforschung in Future Earth (DKN)
www.domilabs.io,Domi
www.ecoligo.investments,ecoligo.investments
www.econsense.de,econsense
www.elomobility.com,ELO Mobility
www.plugsurfing.com,Plugsurfing
www.tracksfortrucks.com,Tracks for Trucks
chargery.de,Chargery
www.futuremobility.network,Future Mobility Network
www.smart-city-hub.com,Smart City Hub
regional-engagiert.de,Regional Engagiert
www.cleantech-innovationcenter.de,CleanTech Innovation Centre
iclei-europe.org,ICLEI Europe
www.berlin-innovation-agency.com,Berlin Innovation Agency (BIA)
www.borderstep.org,Borderstep Institute
www.baywa-re.de,BayWa r.e.
www.umweltbundesamt.de,Umweltbundesamt
www.enelx.com,Enel X
www.fraunhofer.de,Fraunhofer Institut
moeco.io,Moeco
www.beanair.com,Beanair
www.stromnetz.berlin,Stromnetz Berlin GmbH
www.nachhaltigkeitsrat.de,Rat für Nachhaltige Entwicklung
www.door2door.io,Door2Door
www.dfki.de,German Research Centre for AI
eon-agile.com,E.ON: agile
www.dena.de,Deutsche Energie Agentur
www.borderstep.de,Borderstep Institut
start-green.net,Start Green
nachhaltigkeit.bvng.org,Bundesverband für Nachhaltigkeit
thedrivery.com,The Drivery
www.ecologic.eu,Ecologic Institute
www.wegweiser-kommune.de,Wegweiser Kummune
sonnenrepublik.de,Sonnenrepublik
www.n-i-k.net,NIK - Netwerk Innovation & Gründung im Klimawandel
www.smart-city-berlin.de,Smart City Berlin
www.here.com,HERE
www.cist.de,Center for Innovation and Sustainability in Tourism
www.bee-ev.de,Bundesverband Erneurbare Energie
www.opes-solutions.com,Opes Solutions
www.escpeurope.eu,ESCP Berlin
www.sensefinity.com,Sensefinity
www.ice-gateway.com,ICE Gateway
www.circulareconomy.tu-berlin.de,Fachgebiet Kreislaufwirtschaft und Recyclingtechnologie Tu Berlin
www.dstgb.de,German Association of Towns and Municipalities
www.bund.net,BUND / Friends of The Earth
www.berliner-e-agentur.de,Berliner E Agentur
www.innoenergy.com,EIT Inno Energy
foodlabs.de,Atlantic Food Labs
www.futurecityincubator.com,Future City Incubator
www.fz-juelich.de,FZ Juelich
www.dwr-eco.com,DWR Eco
motion-tag.com,MotionTag
www.berlin-partner.de,Berlin Partner
www.helmholtz-berlin.de,Helmholtz Zentrum Berlin
www.bmbf.de,Ministerium für Bildung und Forschung
